,eps_len,eps_win,eps_score,eps_rewards,eps_max_tile
3379,135,False,82,14.00,5
3380,22,False,11,5.00,3
3381,57,False,62,14.00,5
3382,67,False,60,14.00,5
3383,102,False,56,14.00,5
3384,27,False,33,7.00,4
3385,79,False,97,14.00,5
3386,51,False,60,14.00,5
3387,43,False,39,9.00,4
3388,70,False,66,14.00,5
3389,90,True,96,20.00,6
3390,89,False,70,14.00,5
3391,100,False,105,14.00,5
3392,66,False,56,9.00,4
3393,162,False,93,14.00,5
3394,75,False,50,9.00,4
3395,77,False,47,9.00,4
3396,114,False,44,9.00,4
3397,45,False,78,14.00,5
3398,24,False,16,5.00,3
3399,58,False,44,9.00,4
3400,106,False,30,7.00,4
3401,76,False,72,14.00,5
3402,76,False,81,14.00,5
3403,135,False,73,14.00,5
3404,98,False,83,14.00,5
3405,65,True,99,20.00,6
3406,95,False,85,14.00,5
3407,24,False,34,9.00,4
3408,88,True,94,20.00,6
3409,178,False,101,14.00,5
3410,110,False,71,14.00,5
3411,76,False,80,14.00,5
3412,100,True,136,20.00,6
3413,99,False,102,14.00,5
3414,69,True,100,20.00,6
3415,164,False,80,14.00,5
3416,27,False,39,9.00,4
3417,86,False,82,14.00,5
3418,67,True,102,20.00,6
3419,55,False,34,9.00,4
3420,139,True,104,20.00,6
3421,96,False,71,14.00,5
3422,61,False,52,9.00,4
3423,81,False,67,14.00,5
3424,118,False,88,14.00,5
3425,106,True,94,20.00,6
3426,196,False,119,14.00,5
3427,33,False,30,9.00,4
3428,56,False,48,14.00,5
3429,39,False,46,9.00,4
3430,65,False,54,9.00,4
3431,89,True,93,20.00,6
3432,144,False,92,14.00,5
3433,65,True,107,20.00,6
3434,57,False,62,14.00,5
3435,25,False,35,9.00,4
3436,148,True,92,20.00,6
3437,152,False,109,14.00,5
3438,82,False,73,12.00,5
3439,106,False,84,14.00,5
3440,71,False,78,14.00,5
3441,55,False,37,9.00,4
3442,54,False,62,14.00,5
3443,153,False,87,14.00,5
3444,76,False,80,14.00,5
3445,57,False,39,7.00,4
3446,109,False,72,14.00,5
3447,92,False,82,12.00,5
3448,88,False,73,14.00,5
3449,68,False,80,14.00,5
3450,35,False,39,9.00,4
3451,92,False,71,14.00,5
3452,37,False,34,9.00,4
3453,38,False,28,9.00,4
3454,36,False,57,14.00,5
3455,91,True,94,20.00,6
3456,50,False,73,14.00,5
3457,57,False,49,9.00,4
3458,94,True,87,20.00,6
3459,85,True,132,18.00,6
3460,102,False,102,12.00,5
3461,104,False,93,14.00,5
3462,112,False,60,14.00,5
3463,109,False,85,14.00,5
3464,49,False,64,14.00,5
3465,35,False,39,9.00,4
