,eps_len,eps_win,eps_score,eps_rewards,eps_max_tile
1506,129,True,295,295,7
1507,112,False,225,225,6
1508,114,True,245,245,7
1509,109,False,218,218,6
1510,86,False,155,155,5
1511,94,False,162,162,5
1512,112,True,254,254,7
1513,95,True,215,215,7
1514,60,False,96,96,5
1515,87,True,207,207,7
1516,120,False,245,245,6
1517,99,True,208,208,7
1518,110,True,253,253,7
