,eps_len,eps_win,eps_score,eps_rewards,eps_max_tile
131,57,False,91,8.00,5
132,48,False,83,17.50,5
133,40,False,66,15.50,5
134,32,False,48,7.50,4
135,32,False,50,11.00,4
136,35,False,39,4.50,4
137,55,False,75,13.00,5
138,47,False,68,18.50,5
139,50,True,92,17.50,6
140,43,False,62,9.50,5
141,53,False,75,8.00,5
142,45,True,97,19.00,6
143,32,False,36,5.50,4
144,44,False,66,13.50,5
145,57,False,61,9.00,5
146,57,True,103,16.50,6
147,40,False,55,9.50,5
148,29,False,29,5.50,4
149,57,False,90,11.00,5
150,53,True,102,15.50,6
151,63,True,120,22.00,6
152,52,False,87,13.50,5
153,46,False,73,20.00,5
154,46,False,78,15.00,5
155,56,False,86,9.50,5
156,41,False,56,1.50,4
157,47,False,72,13.00,5
158,38,False,68,13.00,5
159,41,False,48,3.00,4
160,42,False,43,4.50,4
161,40,False,71,22.50,5
162,48,False,54,2.00,5
163,31,False,37,6.00,4
164,21,False,30,6.50,4
165,43,False,73,15.50,5
166,42,False,65,14.00,5
167,34,False,41,5.00,4
168,51,False,85,16.50,5
169,44,False,65,13.00,5
170,49,True,93,20.00,6
171,63,True,111,13.00,6
172,44,False,62,6.00,5
173,52,False,80,18.00,5
174,32,False,53,16.00,5
175,49,False,58,-2.50,4
176,48,False,60,3.50,5
177,48,False,80,11.50,5
178,33,False,44,6.50,4
179,22,False,28,8.50,4
180,50,False,78,16.00,5
181,47,False,80,21.00,5
182,36,False,53,8.00,5
183,44,False,73,21.00,5
184,64,True,114,27.00,6
185,56,True,102,25.00,6
186,50,False,74,15.00,5
187,62,False,103,17.50,5
188,45,False,73,16.50,5
189,33,False,41,6.00,4
190,40,False,59,10.50,5
191,60,False,79,8.00,5
192,53,True,100,20.00,6
193,47,False,74,9.50,5
194,43,False,69,14.50,5
195,23,False,22,0.50,3
196,49,False,78,19.50,5
197,34,False,56,11.00,4
198,42,False,63,14.00,5
199,37,False,62,19.00,5
200,36,False,41,1.50,4
201,28,False,44,5.50,4
202,26,False,36,8.00,4
203,41,False,63,7.50,5
204,48,False,82,15.00,5
205,25,False,29,7.50,4
206,26,False,37,8.50,4
207,29,False,32,3.00,4
208,43,False,62,6.50,5
209,52,True,98,16.00,6
210,58,False,85,16.00,5
211,42,False,77,13.50,5
212,45,False,69,13.50,5
213,22,False,28,8.50,4
214,34,False,16,-6.50,3
215,38,False,73,15.00,5
216,36,False,50,3.00,4
217,42,False,58,6.00,5
218,34,False,45,3.00,4
219,51,True,100,20.50,6
220,39,False,46,3.50,4
221,45,False,74,14.50,5
222,39,False,56,10.50,5
223,46,False,77,15.00,5
224,44,False,66,16.50,5
225,53,False,77,11.50,5
226,33,False,60,17.50,5
227,51,False,74,11.50,5
228,60,False,80,4.00,5
229,49,True,92,22.50,6
230,30,False,41,7.50,4
231,54,False,80,11.00,5
232,55,False,80,7.50,5
233,38,False,65,16.00,5
234,58,False,89,10.00,5
235,46,False,65,5.50,5
236,48,False,70,8.50,5
237,20,False,18,1.00,3
238,37,False,53,6.00,4
239,35,False,43,5.00,4
240,47,False,57,6.50,5
241,30,False,39,4.00,4
242,33,False,56,13.00,5
243,53,False,76,10.00,5
244,49,False,84,14.50,5
245,38,False,44,4.00,4
246,34,False,41,5.00,4
247,48,False,80,14.00,5
248,58,True,100,22.50,6
249,31,False,36,3.00,4
250,37,False,64,22.50,5
251,22,False,21,0.50,3
252,44,False,65,9.50,5
253,39,False,58,13.50,5
254,49,True,92,21.50,6
255,58,False,84,6.00,5
256,26,False,29,7.00,4
257,29,False,34,6.50,4
258,51,False,76,15.00,5
259,33,False,38,5.50,4
260,77,False,113,5.50,5
261,50,False,82,11.00,5
262,46,False,69,9.00,5
263,39,False,48,4.00,4
264,33,False,34,4.50,4
265,20,False,22,2.00,3
266,51,False,79,15.50,5
267,38,False,56,7.50,5
268,37,False,52,13.50,5
269,33,False,50,7.50,4
270,43,False,69,14.50,5
271,37,False,39,0.50,4
272,54,False,73,10.00,5
273,39,False,59,14.00,5
274,16,False,11,1.50,3
275,50,False,66,13.50,5
276,28,False,27,2.50,4
277,44,False,58,5.00,5
278,74,False,110,13.50,5
279,44,False,41,0.50,4
280,61,True,95,12.00,6
281,31,False,48,12.50,5
282,32,False,43,3.50,4
283,47,False,78,11.50,5
284,20,False,14,0.00,3
285,46,False,74,11.00,5
286,26,False,32,7.50,4
287,24,False,27,4.50,4
288,46,False,70,12.50,5
289,23,False,22,4.00,4
290,32,False,48,4.50,4
291,32,False,45,7.50,4
292,31,False,41,6.50,4
293,46,False,69,9.00,5
294,53,False,78,11.50,5
295,37,False,62,15.50,5
296,49,False,80,9.50,5
297,42,False,65,10.00,5
298,44,True,89,23.50,6
299,33,False,45,6.50,4
300,33,False,55,13.00,5
301,49,False,84,14.50,5
302,24,False,34,6.00,4
303,41,False,67,15.00,5
304,49,False,84,17.50,5
305,22,False,23,1.00,3
